164,三块广告牌,2017,8.7
165,心迷宫,2014,8.8
166,电锯惊魂,2004,8.7
167,小丑,2019,8.7
168,达拉斯买家俱乐部,2013,8.8
169,背靠背，脸对脸,1994,9.5
170,心灵奇旅,2020,8.7
171,疯狂原始人,2013,8.7
172,谍影重重3,2007,8.8
173,绿里奇迹,1999,8.9
174,上帝之城,2002,9.0
175,海街日记,2015,8.8
176,爱在午夜降临前,2013,8.9
177,英雄本色,1986,8.6
178,风之谷,1984,8.9
179,无间道2,2003,8.8
180,疯狂的石头,2006,8.6
181,2001太空漫游,1968,8.9
182,雨中曲,1952,9.1
183,纵横四海,1991,8.8
184,卢旺达饭店,2004,8.9
185,记忆碎片,2000,8.7
186,小偷家族,2018,8.7
187,无敌破坏王,2012,8.7
188,岁月神偷,2010,8.7
189,冰川时代,2002,8.6
190,牯岭街少年杀人事件,1991,8.9
191,荒蛮故事,2014,8.8
192,忠犬八公物语,1987,9.2
193,恐怖游轮,2009,8.5
194,爆裂鼓手,2014,8.6
195,末路狂花,1991,9.0
196,东京教父,2003,9.0
197,魔女宅急便,1989,8.7
198,大佛普拉斯,2017,8.7
199,遗愿清单,2007,8.7
200,贫民窟的百万富翁,2008,8.6
201,高山下的花环,1984(中国大陆) / 1985,9.5
202,东邪西毒,1994,8.6
203,你看起来好像很好吃,2010,8.9
204,源代码,2011,8.5
205,疯狂的麦克斯4：狂暴之路,2015,8.7
206,可可西里,2004,8.9
207,海边的曼彻斯特,2016,8.6
208,城市之光,1931,9.3
209,波西米亚狂想曲,2018,8.6
210,黑天鹅,2010,8.6
211,芙蓉镇,1987,9.3
212,爱乐之城,2016,8.4
213,真爱至上,2003,8.5
214,青蛇,1993,8.6
215,花束般的恋爱,2021,8.6
216,初恋这件小事,2010,8.5
217,雨人,1988,8.7
218,终结者2：审判日,1991,8.8
219,人工智能,2001,8.7
220,无耻混蛋,2009,8.7
221,虎口脱险,1966,8.9
222,哈利·波特与死亡圣器(上),2010,8.6
223,新龙门客栈,1992,8.7
224,白日梦想家,2013,8.6
225,恋恋笔记本,2004,8.5
226,崖上的波妞,2008,8.6
227,罗生门,1950,8.8
228,千钧一发,1997,8.8
229,彗星来的那一夜,2013,8.6
230,机器人之梦,2023,9.0
231,大红灯笼高高挂,1991,8.8
232,哈利·波特与凤凰社,2007,8.5
233,黑客帝国2：重装上阵,2003,8.7
234,萤火虫之墓,1988,8.7
235,火星救援,2015,8.5
236,奇迹男孩,2017,8.6
237,二十二,2015,8.7
238,战争之王,2005,8.7
239,步履不停,2008,8.8
240,千年女优,2001,8.8
241,血钻,2006,8.7
242,谍影重重2,2004,8.7
243,房间,2015,8.8
244,魂断蓝桥,1940,8.8
245,蜘蛛侠：平行宇宙,2018,8.6
246,弱点,2009,8.7
247,谍影重重,2002,8.6
248,隐藏人物,2016,8.9
249,朗读者,2008,8.6
250,阿飞正传,1990,8.5
